image,H,W,masks_total,candidates_kept,blocks_drawn,rows,median_cols_per_row,wwr,shading_idx
cmp_b0016.jpg,1024,672,169,78,65,18,3,3.838457853056393,1.1302494919846466
cmp_b0030.jpg,592,1024,147,75,65,13,3,4.903803481576398,4.925393202213814
cmp_b0077.jpg,1024,786,204,129,106,13,6,5.70352731840067,1.3583153574998683
cmp_b0194.jpg,847,1024,102,44,42,13,4,3.0405380666215627,1.9779460957660329
cmp_b0225.jpg,1024,768,95,52,44,12,3,1.1646110237591334,0.1778278793423625
cmp_b0240.jpg,595,1024,169,101,79,15,4,1.2457531395885846,0.1559416416081969
cmp_b0281.jpg,445,606,104,73,53,9,5,1.1331059124052187,0.3267525406175157
cmp_b0295.jpg,453,612,161,93,67,11,6,1.5249824397096698,1.703677934790432
cmp_b0371.jpg,438,643,174,94,70,8,7,1.278340951260352,0.4366133345419933
cmp_b0373.jpg,445,643,173,131,91,9,9,2.63752240589524,0.8340583469689109
