image,H,W,masks_total,candidates_kept,blocks_drawn,rows,median_cols_per_row,wwr
cmp_b0001.jpg,1024,543,179,106,79,15,5,0.2969611955055999
cmp_b0002.jpg,1024,398,151,80,67,15,3,0.26964111180663086
cmp_b0003.jpg,449,1024,154,87,71,12,5,0.8422928326177461
cmp_b0004.jpg,691,1024,154,101,89,13,5,0.38117847293462476
cmp_b0005.jpg,1024,682,149,99,84,16,3,0.4478243211706264
cmp_b0006.jpg,1024,584,134,63,50,17,2,0.2242864945215576
cmp_b0007.jpg,1024,636,185,108,90,20,3,0.4427250746182987
cmp_b0008.jpg,1024,413,154,118,86,19,4,0.443481861530399
cmp_b0009.jpg,1024,399,137,73,60,18,2,0.21214446684212518
cmp_b0010.jpg,1024,589,168,72,66,18,3,0.33578563114605126
cmp_b0011.jpg,1024,383,124,40,32,13,3,0.1026839983490046
cmp_b0012.jpg,1024,693,164,79,64,17,2,0.3169333534258203
cmp_b0013.jpg,1024,996,218,149,132,22,6,0.29971420757265127
cmp_b0014.jpg,1024,753,196,139,115,19,4,0.4137617868233752
cmp_b0015.jpg,1024,680,176,121,99,18,4,0.416819243220294
cmp_b0016.jpg,1024,672,169,78,65,18,3,3.838457853056393
cmp_b0017.jpg,1024,1020,175,108,89,17,4,0.3494242439726715
cmp_b0018.jpg,710,1024,193,138,107,15,5,0.2986650217419448
cmp_b0019.jpg,889,1024,178,112,101,15,5,0.40254068826088646
cmp_b0020.jpg,543,1024,172,108,84,10,7,0.20988172596135843
cmp_b0021.jpg,500,1024,143,83,70,8,7,0.1334597763222075
cmp_b0022.jpg,1024,984,177,110,97,20,2,0.4218293370800927
cmp_b0023.jpg,1024,855,142,93,81,17,4,0.40146549219419897
cmp_b0024.jpg,1024,739,93,30,24,9,2,0.08507960933019378
cmp_b0025.jpg,1024,760,132,84,72,20,3,0.23718747387737393
cmp_b0026.jpg,1024,701,162,113,97,21,4,0.52043696994139
cmp_b0027.jpg,1024,745,225,145,119,20,4,0.3905922690265707
cmp_b0028.jpg,1024,1004,202,121,106,19,5,0.2821443809107262
cmp_b0029.jpg,1024,848,196,142,130,16,8,0.4213413306641211
cmp_b0030.jpg,592,1024,147,75,65,13,3,4.903803481576398
cmp_b0031.jpg,993,1024,86,45,43,11,2,0.26475591183775565
cmp_b0032.jpg,732,1024,131,61,54,12,3,0.12733772577662505
cmp_b0033.jpg,828,1024,140,73,59,12,3,0.23621095489534957
cmp_b0034.jpg,1024,854,196,130,105,18,5,0.2991494314394781
cmp_b0035.jpg,770,1024,109,59,50,9,4,0.53262972193113
cmp_b0036.jpg,947,1024,178,88,77,15,2,0.29289602994744296
