image,H,W,masks_total,candidates_kept,blocks_drawn,rows,median_cols_per_row,wwr,shading_idx
cmp_b0001.jpg,1024,543,179,106,79,15,5,0.2969611955055999,0.0061271448029078
cmp_b0002.jpg,1024,398,151,80,67,15,3,0.2696411118066308,0.0531148860622701
cmp_b0003.jpg,449,1024,154,87,71,12,5,0.8422928326177461,0.142280557620333
cmp_b0004.jpg,691,1024,154,101,89,13,5,0.3811784729346247,0.051793671902862
cmp_b0005.jpg,1024,682,149,99,84,16,3,0.4478243211706264,0.0633636393972763
cmp_b0006.jpg,1024,584,134,63,50,17,2,0.2242864945215576,0.0534069981583793
cmp_b0007.jpg,1024,636,185,108,90,20,3,0.4427250746182987,0.0204775092222425
cmp_b0008.jpg,1024,413,154,118,86,19,4,0.443481861530399,0.0
cmp_b0009.jpg,1024,399,137,73,60,18,2,0.2121444668421251,0.0
cmp_b0010.jpg,1024,589,168,72,66,18,3,0.3357856311460512,0.0
cmp_b0011.jpg,1024,383,124,40,32,13,3,0.1026839983490046,0.0069969651374789
cmp_b0012.jpg,1024,693,164,79,64,17,2,0.3169333534258203,0.0365750954946244
cmp_b0013.jpg,1024,996,218,149,132,22,6,0.2997142075726512,0.1405812674399344
cmp_b0014.jpg,1024,753,196,139,115,19,4,0.4137617868233752,0.0256254791623865
cmp_b0015.jpg,1024,680,176,121,99,18,4,0.416819243220294,0.0505852940100868
cmp_b0016.jpg,1024,672,169,78,65,18,3,1.0,1.0
cmp_b0017.jpg,1024,1020,175,108,89,17,4,0.3494242439726715,0.2422800371308863
cmp_b0018.jpg,710,1024,193,138,107,15,5,0.2986650217419448,0.0720134429977518
cmp_b0019.jpg,889,1024,178,112,101,15,5,0.4025406882608864,0.0189940570587651
cmp_b0020.jpg,543,1024,172,108,84,10,7,0.2098817259613584,0.0025254318883127
cmp_b0021.jpg,500,1024,143,83,70,8,7,0.1334597763222075,0.0765278764707677
cmp_b0022.jpg,1024,984,177,110,97,20,2,0.4218293370800927,0.0310273732832027
cmp_b0023.jpg,1024,855,142,93,81,17,4,0.4014654921941989,0.0086968037620327
cmp_b0024.jpg,1024,739,93,30,24,9,2,0.0850796093301937,0.0352714300851199
cmp_b0025.jpg,1024,760,132,84,72,20,3,0.2371874738773739,0.0582885451355891
cmp_b0026.jpg,1024,701,162,113,97,21,4,0.52043696994139,0.0563281558316104
cmp_b0027.jpg,1024,745,225,145,119,20,4,0.3905922690265707,0.0155948753031904
cmp_b0028.jpg,1024,1004,202,121,106,19,5,0.2821443809107262,0.0129859118044181
cmp_b0029.jpg,1024,848,196,142,130,16,8,0.4213413306641211,0.0885958675649136
cmp_b0030.jpg,592,1024,147,75,65,13,3,1.0,1.0
cmp_b0031.jpg,993,1024,86,45,43,11,2,0.2647559118377556,0.0052881393848317
cmp_b0032.jpg,732,1024,131,61,54,12,3,0.127337725776625,0.2385786580514151
cmp_b0033.jpg,828,1024,140,73,59,12,3,0.2362109548953495,0.0674624570652608
cmp_b0034.jpg,1024,854,196,130,105,18,5,0.2991494314394781,0.0128194275100921
cmp_b0035.jpg,770,1024,109,59,50,9,4,0.53262972193113,0.1498566186673244
cmp_b0036.jpg,947,1024,178,88,77,15,2,0.2928960299474429,0.0252315645237554
cmp_b0037.jpg,994,1024,183,130,109,17,8,0.3274140753691657,0.0069758144101378
cmp_b0038.jpg,1024,721,152,97,82,16,5,0.2156034811475226,0.0467232958523479
cmp_b0039.jpg,1024,775,175,117,102,15,5,0.2566749457707759,0.0063433972971268
cmp_b0040.jpg,1024,687,198,137,119,21,5,0.4533912576429969,0.0016456121469069
cmp_b0041.jpg,954,1024,178,128,110,17,6,0.3241238479609662,0.0011879220288984
cmp_b0042.jpg,1024,933,148,97,84,17,4,0.1841919467718313,0.0156239616298601
cmp_b0043.jpg,1024,550,103,52,44,15,2,0.1867523175751048,0.0331567203239639
cmp_b0044.jpg,1024,591,134,65,55,13,3,0.1375717319596945,0.0156835571163732
cmp_b0045.jpg,1024,704,219,19,17,12,1,0.020461078540885,0.0
cmp_b0046.jpg,1024,778,162,97,80,17,3,0.3491822294397401,0.0854210764110334
cmp_b0047.jpg,1024,849,300,207,178,20,7,0.2915447983154802,0.0617194591472256
cmp_b0048.jpg,1024,696,97,51,38,10,2,0.4991155159913122,0.1194506025014768
cmp_b0049.jpg,1024,715,96,71,64,19,2,0.3652170212765957,0.0091922547026968
cmp_b0050.jpg,1024,636,78,45,40,14,2,0.2421826007168837,0.0
cmp_b0051.jpg,810,1024,224,103,98,19,4,0.1380918992934378,0.0794525763097678
cmp_b0052.jpg,942,1024,117,58,56,12,3,0.1898954664268503,0.0207434126340145
cmp_b0053.jpg,1015,1024,110,55,52,13,3,0.2370701899397908,0.0722697586663347
cmp_b0054.jpg,1024,809,101,46,44,13,2,0.2454226035745488,0.2288021261683189
cmp_b0055.jpg,955,1024,162,126,112,18,4,0.3937360031181254,0.0
cmp_b0056.jpg,1024,483,109,56,46,16,2,0.207471486765948,0.0466274162455061
cmp_b0057.jpg,1024,497,131,99,72,18,3,0.4253917044227182,0.0302632653463506
cmp_b0058.jpg,690,1024,159,62,58,11,5,0.1968383005005301,0.0124112466347838
cmp_b0059.jpg,1024,725,244,155,134,16,7,0.3037157131893402,0.0094861087307592
cmp_b0060.jpg,1024,533,256,109,96,18,5,0.2329128469802182,0.0212559239361649
cmp_b0061.jpg,1024,321,193,130,107,20,4,0.4225384136315257,0.0
cmp_b0062.jpg,1024,595,152,90,83,19,3,0.2549421663234727,0.042584059602741
cmp_b0063.jpg,1024,296,103,77,60,21,3,0.2233741055377348,0.003572567783094
cmp_b0064.jpg,1024,241,120,63,49,17,2,0.2116239741784843,0.0431657164099748
cmp_b0065.jpg,1024,297,157,67,61,19,3,0.2024202008092312,0.0074548719402702
cmp_b0066.jpg,1024,616,371,273,241,20,10,0.2217214446264114,0.0114664243924841
cmp_b0067.jpg,1024,460,160,89,68,17,3,0.2561418117757139,0.1223228199704494
