image,H,W,masks_total,candidates_kept,blocks_drawn,rows,median_cols_per_row
cmp_b0001.jpg,1024,543,179,106,79,15,5
cmp_b0002.jpg,1024,398,151,80,67,15,3
cmp_b0003.jpg,449,1024,154,87,71,12,5
cmp_b0004.jpg,691,1024,154,101,89,13,5
cmp_b0005.jpg,1024,682,149,99,84,16,3
cmp_b0006.jpg,1024,584,134,63,50,17,2
cmp_b0007.jpg,1024,636,185,108,90,20,3
cmp_b0008.jpg,1024,413,154,118,86,19,4
cmp_b0009.jpg,1024,399,137,73,60,18,2
cmp_b0010.jpg,1024,589,168,72,66,18,3
cmp_b0011.jpg,1024,383,124,40,32,13,3
cmp_b0012.jpg,1024,693,164,79,64,17,2
cmp_b0013.jpg,1024,996,218,149,132,22,6
cmp_b0014.jpg,1024,753,196,139,115,19,4
cmp_b0015.jpg,1024,680,176,121,99,18,4
cmp_b0016.jpg,1024,672,169,78,65,18,3
cmp_b0017.jpg,1024,1020,175,108,89,17,4
cmp_b0018.jpg,710,1024,193,138,107,15,5
cmp_b0019.jpg,889,1024,178,112,101,15,5
cmp_b0020.jpg,543,1024,172,108,84,10,7
cmp_b0021.jpg,500,1024,143,83,70,8,7
cmp_b0022.jpg,1024,984,177,110,97,20,2
cmp_b0023.jpg,1024,855,142,93,81,17,4
cmp_b0024.jpg,1024,739,93,30,24,9,2
cmp_b0025.jpg,1024,760,132,84,72,20,3
cmp_b0026.jpg,1024,701,162,113,97,21,4
cmp_b0027.jpg,1024,745,225,145,119,20,4
cmp_b0028.jpg,1024,1004,202,121,106,19,5
cmp_b0029.jpg,1024,848,196,142,130,16,8
cmp_b0030.jpg,592,1024,147,75,65,13,3
cmp_b0031.jpg,993,1024,86,45,43,11,2
cmp_b0032.jpg,732,1024,131,61,54,12,3
cmp_b0033.jpg,828,1024,140,73,59,12,3
cmp_b0034.jpg,1024,854,196,130,105,18,5
cmp_b0035.jpg,770,1024,109,59,50,9,4
cmp_b0036.jpg,947,1024,178,88,77,15,2
cmp_b0037.jpg,994,1024,183,130,109,17,8
cmp_b0038.jpg,1024,721,152,97,82,16,5
cmp_b0039.jpg,1024,775,175,117,102,15,5
cmp_b0040.jpg,1024,687,198,137,119,21,5
cmp_b0041.jpg,954,1024,178,128,110,17,6
cmp_b0042.jpg,1024,933,148,97,84,17,4
cmp_b0043.jpg,1024,550,103,52,44,15,2
cmp_b0044.jpg,1024,591,134,65,55,13,3
cmp_b0045.jpg,1024,704,219,19,17,12,1
cmp_b0046.jpg,1024,778,162,97,80,17,3
cmp_b0047.jpg,1024,849,300,207,178,20,7
cmp_b0048.jpg,1024,696,97,51,38,10,2
cmp_b0049.jpg,1024,715,96,71,64,19,2
cmp_b0050.jpg,1024,636,78,45,40,14,2
cmp_b0051.jpg,810,1024,224,103,98,19,4
cmp_b0052.jpg,942,1024,117,58,56,12,3
cmp_b0053.jpg,1015,1024,110,55,52,13,3
cmp_b0054.jpg,1024,809,101,46,44,13,2
cmp_b0055.jpg,955,1024,162,126,112,18,4
cmp_b0056.jpg,1024,483,109,56,46,16,2
cmp_b0057.jpg,1024,497,131,99,72,18,3
cmp_b0058.jpg,690,1024,159,62,58,11,5
cmp_b0059.jpg,1024,725,244,155,134,16,7
cmp_b0060.jpg,1024,533,256,109,96,18,5
cmp_b0061.jpg,1024,321,193,130,107,20,4
